frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma;formantFinalFreq_sma[0];formantFinalFreq_sma[1];formantFinalFreq_sma[2];formantFinalFreq_sma[3];formantFinalFreq_sma[4];formantFinalBW_sma[0];formantFinalBW_sma[1];formantFinalBW_sma[2];formantFinalBW_sma[3];formantFinalBW_sma[4]
0;0.010000;7.698547e-02;7.698547e-02;0;0;0;1.345146e+03;2.171073e+03;3.159227e+03;9.600035e+02;6.231948e+02;3.614671e+02;0;0;0;0
1;0.020000;1.632025e-01;1.632025e-01;0;0;0;1.562269e+03;2.421860e+03;3.451669e+03;9.509974e+02;6.893207e+02;7.596066e+02;0;0;0;0
2;0.030000;2.420579e-01;2.420579e-01;0;0;0;1.571048e+03;2.409664e+03;3.395427e+03;1.009178e+03;9.084529e+02;9.099645e+02;0;0;0;0
3;0.040000;2.488246e-01;2.488246e-01;0;0;0;1.924265e+03;2.667704e+03;3.651314e+03;1.086334e+03;9.243833e+02;1.224179e+03;0;0;0;0
4;0.050000;3.210917e-01;3.210917e-01;0;0;0;1.784299e+03;2.401437e+03;3.309740e+03;1.082664e+03;1.136355e+03;9.463305e+02;0;0;0;0
5;0.060000;5.275712e-01;5.275712e-01;0;0;0;1.667413e+03;2.352260e+03;3.304784e+03;9.201928e+02;9.622663e+02;8.713300e+02;0;0;0;0
6;0.070000;7.298098e-01;7.298098e-01;0;0;0;1.673885e+03;2.490280e+03;1.971451e+03;9.281573e+02;1.009990e+03;7.360012e+02;0;0;0;0
7;0.080000;8.512144e-01;8.512144e-01;0;0;0;1.765329e+03;2.794226e+03;2.313026e+03;7.769510e+02;7.964106e+02;9.532303e+02;0;0;0;0
8;0.090000;8.276340e-01;8.276340e-01;0;0;0;1.771368e+03;2.829058e+03;2.402167e+03;8.351208e+02;8.032666e+02;1.065506e+03;0;0;0;0
9;0.100000;8.216930e-01;8.216930e-01;0;0;0;1.479443e+03;2.385849e+03;3.441528e+03;8.717668e+02;7.634417e+02;1.013747e+03;0;0;0;0
10;0.110000;8.219586e-01;8.219586e-01;0;0;0;1.460039e+03;2.396333e+03;3.441528e+03;7.977395e+02;6.643220e+02;7.706813e+02;0;0;0;0
11;0.120000;8.399253e-01;8.399253e-01;0;0;0;1.140029e+03;2.116064e+03;3.031139e+03;7.783600e+02;5.988014e+02;6.654153e+02;0;0;0;0
12;0.130000;8.152408e-01;8.152408e-01;0;0;0;1.239679e+03;2.241022e+03;3.091377e+03;4.120814e+02;4.505133e+02;4.855858e+02;0;0;0;0
13;0.140000;7.754915e-01;7.754915e-01;0;0;0;6.558476e+02;1.678037e+03;2.861809e+03;6.313016e+02;3.420896e+02;3.256289e+02;0;0;0;0
14;0.150000;7.140098e-01;7.140098e-01;0;0;0;6.517854e+02;1.733852e+03;3.290740e+03;7.359645e+02;2.014375e+02;1.835262e+02;0;0;0;0
15;0.160000;6.583629e-01;6.583629e-01;0;0;0;2.795427e+02;1.430377e+03;3.270776e+03;1.025072e+03;1.718768e+02;1.294058e+02;0;0;0;0
16;0.170000;6.052882e-01;6.052882e-01;0;0;0;3.120692e+02;1.452209e+03;3.250576e+03;9.707170e+02;2.021048e+02;1.412588e+02;0;0;0;0
17;0.180000;6.092914e-01;6.092914e-01;0;0;0;3.440664e+02;1.468956e+03;2.163201e+03;8.830640e+02;2.453507e+02;8.912838e+02;0;0;0;0
18;0.190000;6.621979e-01;6.621979e-01;0;0;0;3.619082e+02;1.488409e+03;2.151524e+03;8.911274e+02;2.578188e+02;8.711496e+02;0;0;0;0
19;0.200000;7.682812e-01;7.682812e-01;0;0;0;7.725728e+02;1.000382e+03;1.277272e+03;6.276509e+02;4.780199e+02;1.146237e+03;0;0;0;0
20;0.210000;8.509066e-01;8.509066e-01;0;0;0;1.182472e+03;5.043994e+02;1.501602e+03;3.394658e+02;6.642125e+02;6.743997e+02;0;0;0;0
21;0.220000;9.021876e-01;9.021876e-01;0;0;0;2.113540e+03;1.333333e+03;4.336442e+02;1.407872e+02;7.477385e+02;9.033856e+02;0;0;0;0
22;0.230000;9.124594e-01;9.124594e-01;0;0;0;2.085915e+03;2.100264e+03;1.301479e+03;3.134427e+02;4.539207e+02;6.377189e+02;0;0;0;0
23;0.240000;8.997195e-01;8.997195e-01;0;0;0;1.554524e+03;2.100264e+03;1.077149e+03;2.949818e+02;1.826345e+02;3.180381e+02;0;0;0;0
24;0.250000;8.396267e-01;8.396267e-01;0;0;0;4.965664e+02;7.669307e+02;1.077149e+03;1.912701e+02;9.707740e+00;5.700130e+01;0;0;0;0
25;0.260000;7.443838e-01;7.443838e-01;0;0;0;0;0;0;0;0;0;0;0;0;0
26;0.270000;6.929173e-01;6.929173e-01;0;0;0;0;0;0;0;0;0;0;0;0;0
27;0.280000;7.089942e-01;7.089942e-01;0;0;0;1.117424e+03;1.333333e+03;0;1.732720e+02;1.552175e+02;1.198631e+02;0;0;0;0
28;0.290000;7.261001e-01;7.261001e-01;0;0;0;1.435589e+03;1.333333e+03;1.333333e+03;2.224232e+02;2.563522e+02;2.761851e+02;0;0;0;0
29;0.300000;6.312908e-01;6.312908e-01;0;0;0;2.221298e+03;2.448822e+03;2.666667e+03;3.015306e+02;4.212918e+02;5.362465e+02;0;0;0;0
30;0.310000;5.049824e-01;5.049824e-01;0;0;0;1.103873e+03;1.115488e+03;2.666667e+03;1.282586e+02;2.660742e+02;4.163834e+02;0;0;0;0
31;0.320000;5.318592e-01;5.318592e-01;0;0;0;7.857081e+02;1.115488e+03;1.333333e+03;7.910737e+01;1.649396e+02;2.600614e+02;0;0;0;0
32;0.330000;6.531830e-01;6.531830e-01;0;0;0;0;0;0;0;0;0;0;0;0;0
33;0.340000;8.164311e-01;8.164311e-01;0;0;0;3.408988e+02;0;1.978438e+02;3.105177e+02;4.170744e+02;7.135395e+02;0;0;0;0
34;0.350000;8.686517e-01;8.686517e-01;0;0;0;3.408988e+02;0;1.978438e+02;3.105177e+02;4.170744e+02;7.135395e+02;0;0;0;0
35;0.360000;9.066696e-01;9.066696e-01;0;0;0;3.408988e+02;0;1.978438e+02;3.105177e+02;4.170744e+02;7.135395e+02;0;0;0;0
36;0.370000;9.126890e-01;9.126890e-01;0;0;0;0;0;0;0;0;0;0;0;0;0
37;0.380000;8.979169e-01;8.979169e-01;0;0;0;0;0;0;0;0;0;0;0;0;0
