frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma;formantFinalFreq_sma[0];formantFinalFreq_sma[1];formantFinalFreq_sma[2];formantFinalFreq_sma[3];formantFinalFreq_sma[4];formantFinalBW_sma[0];formantFinalBW_sma[1];formantFinalBW_sma[2];formantFinalBW_sma[3];formantFinalBW_sma[4]
0;0.010000;2.351154e-01;2.351154e-01;0;0;0;8.486235e+02;2.409694e+03;4000;8.349359e+02;5.873484e+02;3.897742e+01;0;0;0;0
1;0.020000;4.599511e-01;4.599511e-01;0;0;0;7.580784e+02;1.965315e+03;3.464385e+03;7.115762e+02;6.944951e+02;3.284216e+02;0;0;0;0
2;0.030000;6.583748e-01;6.583748e-01;0;0;0;7.179310e+02;9.818143e+02;2.629584e+03;4.679925e+02;5.497267e+02;6.696775e+02;0;0;0;0
3;0.040000;6.184371e-01;6.184371e-01;0;0;0;1.490442e+03;1.594585e+03;2.629584e+03;3.684479e+02;4.955764e+02;8.935356e+02;0;0;0;0
4;0.050000;5.458195e-01;5.458195e-01;0;0;0;1.473833e+03;1.627669e+03;2.696718e+03;2.946020e+02;4.452529e+02;9.177256e+02;0;0;0;0
5;0.060000;4.908107e-01;4.908107e-01;0;0;0;1.489687e+03;1.627669e+03;2.854616e+03;3.588244e+02;5.518922e+02;8.333196e+02;0;0;0;0
6;0.070000;4.728087e-01;4.728087e-01;0;0;0;6.560699e+02;5.722068e+02;1.521282e+03;1.288851e+02;4.208108e+02;5.909653e+02;0;0;0;0
7;0.080000;5.579144e-01;5.579144e-01;0;0;0;4.344851e+02;4.214486e+02;1.318418e+03;4.017287e+02;2.878507e+02;5.001298e+02;0;0;0;0
8;0.090000;6.528911e-01;6.528911e-01;0;0;0;4.590920e+02;1.057270e+03;1.667685e+03;4.818442e+02;3.225282e+02;2.505569e+02;0;0;0;0
9;0.100000;7.337427e-01;7.337427e-01;0;0;0;1.098798e+03;2.062978e+03;3.001018e+03;6.431443e+02;3.490430e+02;6.606702e+02;0;0;0;0
10;0.110000;7.685056e-01;7.685056e-01;0;0;0;1.681906e+03;2.643097e+03;3.672363e+03;4.730645e+02;2.383298e+02;8.943484e+02;0;0;0;0
11;0.120000;7.897026e-01;7.897026e-01;0;0;0;1.939591e+03;3.008338e+03;4000;4.860881e+02;5.275919e+01;1.465579e+03;0;0;0;0
12;0.130000;7.868772e-01;7.868772e-01;0;0;0;1.702370e+03;2.658035e+03;3.658026e+03;4.425662e+02;1.820851e+02;1.075081e+03;0;0;0;0
13;0.140000;7.245135e-01;7.245135e-01;0;0;0;1.725983e+03;2.663660e+03;3.658026e+03;4.257743e+02;1.878439e+02;1.322243e+03;0;0;0;0
14;0.150000;6.567199e-01;6.567199e-01;0;0;0;1.152654e+03;2.062200e+03;3.011395e+03;5.402339e+02;2.789542e+02;8.220278e+02;0;0;0;0
