frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma;formantFinalFreq_sma[0];formantFinalFreq_sma[1];formantFinalFreq_sma[2];formantFinalFreq_sma[3];formantFinalFreq_sma[4];formantFinalBW_sma[0];formantFinalBW_sma[1];formantFinalBW_sma[2];formantFinalBW_sma[3];formantFinalBW_sma[4]
0;0.010000;1.369309e-01;1.369309e-01;0;0;0;4.653715e+02;1.167237e+03;1.935181e+03;1.375206e+02;9.501328e+02;6.018061e+02;0;0;0;0
1;0.020000;2.722320e-01;2.722320e-01;0;0;0;4.664278e+02;1.182708e+03;1.929343e+03;1.837241e+02;9.645361e+02;5.990962e+02;0;0;0;0
2;0.030000;3.768260e-01;3.768260e-01;0;0;0;4.708113e+02;1.209637e+03;1.914568e+03;2.428785e+02;1.005526e+03;6.045263e+02;0;0;0;0
3;0.040000;3.633721e-01;3.633721e-01;0;0;0;4.994437e+02;1.192717e+03;1.909170e+03;2.299765e+02;9.985137e+02;5.843454e+02;0;0;0;0
4;0.050000;4.284354e-01;4.284354e-01;0;0;0;6.062704e+02;1.396031e+03;2.187702e+03;1.754630e+02;8.280408e+02;5.670837e+02;0;0;0;0
5;0.060000;5.539303e-01;5.539303e-01;0;0;0;9.071534e+02;1.804454e+03;2.804275e+03;3.015146e+02;5.495944e+02;7.552288e+02;0;0;0;0
6;0.070000;5.980324e-01;5.355312e-01;0;0;0;1.415578e+03;2.434735e+03;3.504549e+03;4.947702e+02;4.588201e+02;8.726309e+02;0;0;0;0
7;0.080000;5.652471e-01;5.027459e-01;0;0;0;1.836937e+03;2.885966e+03;3.916826e+03;6.905906e+02;4.548799e+02;1.364622e+03;0;0;0;0
8;0.090000;4.761801e-01;4.136790e-01;0;0;0;2.050639e+03;3.086716e+03;4000;6.737557e+02;5.470171e+02;1.228672e+03;0;0;0;0
9;0.100000;5.208486e-01;5.208486e-01;0;0;0;2.051119e+03;3.125377e+03;4000;6.339433e+02;4.518784e+02;1.455267e+03;0;0;0;0
10;0.110000;5.762620e-01;5.762620e-01;0;0;0;2.041553e+03;3.069452e+03;4000;6.094357e+02;5.093678e+02;9.611476e+02;0;0;0;0
11;0.120000;6.562324e-01;6.562324e-01;0;0;0;2.038099e+03;3.084032e+03;4000;6.653599e+02;5.318447e+02;1.024195e+03;0;0;0;0
12;0.130000;6.757014e-01;6.757014e-01;0;0;0;2.033539e+03;3.071181e+03;4000;6.803203e+02;5.540391e+02;9.623256e+02;0;0;0;0
13;0.140000;6.774030e-01;6.774030e-01;0;0;0;2.064094e+03;3.160469e+03;4000;8.211124e+02;5.018384e+02;2.394915e+03;0;0;0;0
14;0.150000;6.524019e-01;6.524019e-01;0;0;0;1.495784e+03;2.479769e+03;3.346733e+03;9.238970e+02;6.438539e+02;2.300944e+03;0;0;0;0
15;0.160000;5.677176e-01;5.677176e-01;0;0;0;1.164913e+03;2.438523e+03;2.013400e+03;1.190479e+03;5.667036e+02;2.328037e+03;0;0;0;0
16;0.170000;4.874611e-01;4.874611e-01;0;0;0;5.541124e+02;1.742722e+03;1.664169e+03;1.265624e+03;7.312136e+02;7.852104e+02;0;0;0;0
