frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
0;0.010000;7.606841e+01;2.446368e-01;1.185802e+00
1;0.020000;1.532881e+02;4.919680e-01;1.188665e+00
2;0.030000;2.318783e+02;7.426277e-01;1.364998e+00
3;0.040000;2.352463e+02;7.570660e-01;9.080773e-01
4;0.050000;2.374146e+02;7.701321e-01;1.059801e+00
5;0.060000;2.375905e+02;7.719411e-01;9.805422e-01
6;0.070000;2.355849e+02;7.571530e-01;1.211984e+00
7;0.080000;2.302408e+02;7.312441e-01;9.619316e-01
8;0.090000;1.514747e+02;6.952376e-01;9.851953e-01
9;0.100000;7.404383e+01;4.509507e-01;7.650395e-01
10;0.110000;0;2.164622e-01;7.101900e-01
11;0.120000;0;1.700267e-01;3.545526e-01
12;0.130000;0;3.259191e-01;2.345344e-01
13;0.140000;0;5.529360e-01;1.361553e-01
14;0.150000;1.002700e+02;6.435854e-01;1.642326e-01
15;0.160000;2.002187e+02;7.636271e-01;5.651110e-01
16;0.170000;3.002585e+02;8.206378e-01;6.782429e-01
17;0.180000;3.008962e+02;8.450524e-01;8.652666e-01
18;0.190000;3.023662e+02;8.553477e-01;5.786399e-01
19;0.200000;3.038691e+02;8.555196e-01;6.089690e-01
20;0.210000;3.046624e+02;8.505054e-01;4.051770e-01
21;0.220000;3.050182e+02;8.349708e-01;6.052380e-01
22;0.230000;3.043908e+02;8.049343e-01;1.128667e+00
23;0.240000;2.026897e+02;7.486091e-01;1.766194e+00
24;0.250000;1.009152e+02;4.779145e-01;1.795957e+00
25;0.260000;0;2.237514e-01;1.339888e+00
26;0.270000;0;0;6.771371e-01
27;0.280000;0;0;3.866284e-01
28;0.290000;0;0;3.115214e-01
29;0.300000;0;2.175646e-01;4.395781e-01
30;0.310000;9.519689e+01;4.658916e-01;5.406947e-01
31;0.320000;1.868994e+02;7.270164e-01;4.929718e-01
32;0.330000;2.760439e+02;7.813275e-01;5.991083e-01
33;0.340000;2.677732e+02;8.052087e-01;6.223025e-01
34;0.350000;2.611589e+02;8.140401e-01;8.763096e-01
35;0.360000;2.556399e+02;8.030732e-01;8.039767e-01
36;0.370000;2.505905e+02;7.751650e-01;8.787233e-01
37;0.380000;1.655023e+02;7.342893e-01;1.260847e+00
38;0.390000;8.187672e+01;7.085400e-01;1.338693e+00
39;0.400000;0;6.921218e-01;1.575956e+00
40;0.410000;0;4.630412e-01;1.171781e+00
41;0.420000;0;2.278817e-01;1.015985e+00
42;0.430000;0;1.905114e-01;5.260971e-01
43;0.440000;8.237041e+01;4.334950e-01;2.024023e-01
44;0.450000;1.631867e+02;6.887557e-01;1.141376e-01
45;0.460000;2.424373e+02;7.659716e-01;1.271359e-01
46;0.470000;2.383766e+02;7.999708e-01;1.178869e-01
47;0.480000;2.351194e+02;8.232978e-01;5.407438e-01
48;0.490000;2.328848e+02;8.313206e-01;7.736796e-01
49;0.500000;2.313165e+02;8.235351e-01;1.355562e+00
