frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
0;0.010000;5.672534e+01;2.432225e-01;1.354152e+00
1;0.020000;1.129621e+02;4.971980e-01;8.949402e-01
2;0.030000;1.685713e+02;7.532532e-01;7.493771e-01
3;0.040000;1.664714e+02;7.665219e-01;7.580476e-01
4;0.050000;1.635719e+02;7.608009e-01;1.321819e+00
5;0.060000;1.591379e+02;7.401649e-01;1.452433e+00
6;0.070000;1.045125e+02;7.081890e-01;1.525333e+00
7;0.080000;5.117522e+01;6.797268e-01;1.308494e+00
8;0.090000;0;4.443076e-01;1.013281e+00
9;0.100000;0;2.197921e-01;7.734981e-01
10;0.110000;0;1.266684e-01;6.168138e-01
11;0.120000;0;2.733583e-01;5.488430e-01
12;0.130000;0;4.349616e-01;3.367624e-01
13;0.140000;0;4.715895e-01;2.515104e-01
14;0.150000;0;4.810228e-01;3.456050e-01
15;0.160000;0;4.984612e-01;4.449886e-01
16;0.170000;0;5.023169e-01;3.835530e-01
17;0.180000;0;4.876517e-01;3.811069e-01
18;0.190000;0;4.500048e-01;3.775905e-01
19;0.200000;0;4.204172e-01;4.232399e-01
20;0.210000;0;4.143304e-01;2.990870e-01
21;0.220000;0;4.812731e-01;2.275665e-01
22;0.230000;0;5.749713e-01;3.619557e-01
23;0.240000;6.584557e+01;6.846809e-01;3.952950e-01
24;0.250000;1.311865e+02;7.311852e-01;4.356848e-01
25;0.260000;1.960149e+02;7.525358e-01;4.229350e-01
26;0.270000;1.939868e+02;7.607036e-01;6.945427e-01
27;0.280000;1.912693e+02;7.571529e-01;9.210700e-01
28;0.290000;1.878706e+02;7.520640e-01;1.074618e+00
29;0.300000;1.838350e+02;7.449584e-01;1.127774e+00
30;0.310000;1.795950e+02;7.292657e-01;1.131384e+00
31;0.320000;1.181653e+02;6.983334e-01;1.136367e+00
32;0.330000;5.838332e+01;6.691222e-01;1.075386e+00
33;0.340000;0;6.451991e-01;8.244559e-01
34;0.350000;0;6.120602e-01;7.768099e-01
35;0.360000;0;5.652842e-01;6.888396e-01
