frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
0;0.010000;0;2.327418e-01;1.473751e+00
1;0.020000;0;4.621841e-01;1.165012e+00
2;0.030000;5.521650e+01;7.114189e-01;1.076645e+00
3;0.040000;1.097331e+02;7.292928e-01;1.579152e+00
4;0.050000;1.637061e+02;7.456416e-01;2.107259e+00
5;0.060000;1.619731e+02;7.306351e-01;1.912260e+00
6;0.070000;1.074564e+02;6.915520e-01;1.745257e+00
7;0.080000;5.348346e+01;6.411860e-01;1.198720e+00
8;0.090000;0;6.052641e-01;9.642215e-01
9;0.100000;0;5.973409e-01;4.324472e-01
10;0.110000;0;6.426554e-01;1.733053e-01
11;0.120000;0;6.707732e-01;1.462007e-01
12;0.130000;0;6.361475e-01;1.596784e-01
13;0.140000;0;6.184028e-01;3.284682e-01
14;0.150000;6.077726e+01;6.463204e-01;4.003115e-01
15;0.160000;1.214072e+02;7.395566e-01;3.891621e-01
16;0.170000;1.819468e+02;7.872117e-01;3.616972e-01
17;0.180000;1.816786e+02;8.048065e-01;6.199864e-01
18;0.190000;1.814123e+02;8.144810e-01;1.200123e+00
19;0.200000;1.809039e+02;8.131815e-01;1.803352e+00
20;0.210000;1.801382e+02;8.030331e-01;2.167306e+00
21;0.220000;1.793331e+02;7.778304e-01;1.681309e+00
22;0.230000;1.193018e+02;7.255769e-01;1.117125e+00
23;0.240000;5.955849e+01;6.718907e-01;7.360654e-01
24;0.250000;0;6.498668e-01;9.080536e-01
25;0.260000;0;6.550874e-01;9.286351e-01
26;0.270000;0;6.473499e-01;6.665160e-01
27;0.280000;0;6.110073e-01;4.617827e-01
28;0.290000;0;6.098390e-01;2.414471e-01
29;0.300000;0;6.362438e-01;1.884522e-01
30;0.310000;5.265886e+01;6.844760e-01;1.364940e-01
31;0.320000;1.056259e+02;7.153788e-01;2.328442e-01
32;0.330000;1.583684e+02;7.452963e-01;3.844889e-01
33;0.340000;1.577439e+02;7.670853e-01;5.807551e-01
34;0.350000;1.558824e+02;7.732682e-01;8.562167e-01
35;0.360000;1.542049e+02;7.765802e-01;1.005822e+00
36;0.370000;1.533726e+02;7.764190e-01;1.026126e+00
37;0.380000;1.532210e+02;7.810934e-01;1.024826e+00
38;0.390000;1.527142e+02;7.836412e-01;8.972431e-01
39;0.400000;2.008256e+02;7.852855e-01;9.487615e-01
40;0.410000;2.476084e+02;7.888811e-01;6.784320e-01
41;0.420000;2.943244e+02;7.884989e-01;1.193178e+00
42;0.430000;2.912860e+02;7.779589e-01;9.522647e-01
43;0.440000;1.935492e+02;7.382006e-01;1.393089e+00
44;0.450000;9.627506e+01;6.501721e-01;8.662168e-01
45;0.460000;0;6.102364e-01;8.976828e-01
46;0.470000;0;6.090789e-01;3.546952e-01
47;0.480000;0;6.619424e-01;2.176055e-01
48;0.490000;0;6.704171e-01;1.419097e-01
49;0.500000;0;6.508970e-01;1.787153e-01
50;0.510000;0;6.040674e-01;1.671380e-01
51;0.520000;0;6.147389e-01;1.708377e-01
52;0.530000;9.842712e+01;6.439731e-01;4.518867e-01
53;0.540000;1.957483e+02;7.037076e-01;4.253667e-01
54;0.550000;2.436512e+02;7.159415e-01;5.870503e-01
55;0.560000;1.927581e+02;7.393067e-01;5.754719e-01
56;0.570000;1.430497e+02;7.676468e-01;9.253033e-01
57;0.580000;1.429858e+02;7.945426e-01;1.264332e+00
58;0.590000;1.434371e+02;8.016226e-01;1.137907e+00
59;0.600000;1.437490e+02;7.921076e-01;9.866875e-01
60;0.610000;1.435663e+02;7.593513e-01;7.896960e-01
61;0.620000;9.558085e+01;7.072501e-01;8.511305e-01
62;0.630000;4.765626e+01;6.545453e-01;9.004490e-01
63;0.640000;0;6.310259e-01;6.036548e-01
64;0.650000;0;6.033161e-01;4.208597e-01
65;0.660000;0;5.927123e-01;1.504750e-01
66;0.670000;0;5.857325e-01;9.952115e-02
67;0.680000;0;5.874458e-01;1.157678e-01
68;0.690000;0;5.671811e-01;1.270859e-01
69;0.700000;0;5.584052e-01;1.428044e-01
70;0.710000;0;5.949277e-01;9.883033e-02
71;0.720000;0;5.983676e-01;9.157592e-02
72;0.730000;0;5.997660e-01;1.000135e-01
73;0.740000;0;5.695611e-01;3.139838e-01
