frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
0;0.010000;6.250179e+01;2.560638e-01;1.058248e+00
1;0.020000;1.246675e+02;5.108740e-01;1.066607e+00
2;0.030000;1.860202e+02;7.655535e-01;9.502559e-01
3;0.040000;1.833104e+02;7.673731e-01;1.161259e+00
4;0.050000;1.796241e+02;7.689251e-01;1.710554e+00
5;0.060000;1.754515e+02;7.677345e-01;2.113605e+00
6;0.070000;1.706962e+02;7.574215e-01;1.918250e+00
7;0.080000;1.649295e+02;7.471914e-01;1.522851e+00
8;0.090000;1.572222e+02;7.342458e-01;1.569178e+00
9;0.100000;1.021855e+02;7.189268e-01;1.779381e+00
10;0.110000;4.947270e+01;7.007999e-01;1.488575e+00
11;0.120000;0;6.833288e-01;1.933347e+00
12;0.130000;0;6.379191e-01;1.860880e+00
13;0.140000;0;5.608415e-01;1.871522e+00
14;0.150000;0;4.944034e-01;9.879327e-01
15;0.160000;0;4.674811e-01;6.199078e-01
16;0.170000;0;4.696453e-01;6.673173e-01
17;0.180000;0;4.796656e-01;8.017988e-01
18;0.190000;0;4.916590e-01;1.205102e+00
19;0.200000;0;4.944715e-01;1.153763e+00
20;0.210000;0;4.869151e-01;1.130661e+00
21;0.220000;0;4.721909e-01;7.869655e-01
22;0.230000;0;4.882200e-01;1.056885e+00
23;0.240000;0;4.932126e-01;1.107982e+00
24;0.250000;0;5.011047e-01;1.406109e+00
25;0.260000;0;4.974807e-01;1.494667e+00
26;0.270000;0;4.832369e-01;1.168949e+00
27;0.280000;0;4.989173e-01;1.053511e+00
28;0.290000;0;5.487836e-01;8.077769e-01
29;0.300000;4.680375e+01;6.403796e-01;1.059901e+00
30;0.310000;9.487787e+01;7.081609e-01;8.416811e-01
31;0.320000;1.443450e+02;7.402294e-01;6.411689e-01
32;0.330000;1.483786e+02;7.534114e-01;7.561548e-01
33;0.340000;1.524904e+02;7.590020e-01;1.487301e+00
34;0.350000;1.570832e+02;7.626836e-01;2.190355e+00
35;0.360000;1.620777e+02;7.631763e-01;2.649139e+00
36;0.370000;1.671168e+02;7.665117e-01;2.319637e+00
37;0.380000;1.715323e+02;7.702094e-01;2.020090e+00
38;0.390000;1.756233e+02;7.672847e-01;1.649054e+00
39;0.400000;1.807231e+02;7.645476e-01;1.645303e+00
40;0.410000;1.858482e+02;7.633212e-01;1.393846e+00
41;0.420000;1.892899e+02;7.577359e-01;1.353897e+00
42;0.430000;1.883463e+02;7.400284e-01;1.308595e+00
43;0.440000;1.247459e+02;4.836315e-01;1.258094e+00
44;0.450000;6.138123e+01;2.370241e-01;1.136570e+00
45;0.460000;0;0;6.714620e-01
46;0.470000;0;0;5.240447e-01
47;0.480000;0;0;1.679508e-01
48;0.490000;0;2.208425e-01;9.137610e-02
49;0.500000;0;4.408153e-01;2.656016e-02
50;0.510000;0;6.315582e-01;3.609520e-02
51;0.520000;0;5.689388e-01;4.486191e-02
52;0.530000;0;5.016275e-01;5.343722e-02
53;0.540000;0;4.469416e-01;1.879594e-01
54;0.550000;0;4.757985e-01;2.358789e-01
55;0.560000;0;5.352892e-01;2.232667e-01
56;0.570000;5.891020e+01;6.354758e-01;2.187740e-01
57;0.580000;1.179012e+02;6.897151e-01;2.474933e-01
58;0.590000;1.767219e+02;7.160513e-01;6.118122e-01
59;0.600000;1.178117e+02;7.088339e-01;6.534941e-01
60;0.610000;5.882077e+01;6.939347e-01;9.826753e-01
61;0.620000;0;6.902196e-01;8.981947e-01
62;0.630000;0;4.611934e-01;9.580888e-01
63;0.640000;0;2.347734e-01;7.596350e-01
64;0.650000;0;0;6.077796e-01
65;0.660000;0;2.257792e-01;4.010044e-01
66;0.670000;0;2.257792e-01;1.875348e-01
67;0.680000;0;3.921671e-01;8.016551e-02
68;0.690000;0;3.888644e-01;5.321455e-02
69;0.700000;0;3.888644e-01;5.748102e-02
70;0.710000;0;2.224766e-01;3.570116e-02
71;0.720000;0;2.109766e-01;4.234530e-02
72;0.730000;5.558133e+01;4.504148e-01;4.901528e-02
73;0.740000;1.103164e+02;6.965175e-01;5.328175e-02
74;0.750000;1.645571e+02;7.422903e-01;1.595498e-01
75;0.760000;1.621277e+02;7.567990e-01;4.464150e-01
76;0.770000;1.587125e+02;7.610136e-01;9.764328e-01
77;0.780000;1.533856e+02;7.523346e-01;1.641647e+00
78;0.790000;1.471404e+02;7.456864e-01;2.288671e+00
79;0.800000;1.409010e+02;7.437928e-01;2.131268e+00
80;0.810000;1.355216e+02;7.469358e-01;2.109693e+00
81;0.820000;1.314028e+02;7.515777e-01;1.253815e+00
82;0.830000;1.294832e+02;7.546592e-01;1.023077e+00
