frameIndex;frameTime;pcm_loudness_sma
0;0.000000;1.410911e+00
1;0.010000;1.448217e+00
2;0.020000;1.801873e+00
3;0.030000;1.699756e+00
4;0.040000;1.847911e+00
5;0.050000;1.583044e+00
6;0.060000;1.359373e+00
7;0.070000;1.275080e+00
8;0.080000;1.133609e+00
9;0.090000;1.375774e+00
10;0.100000;9.319881e-01
11;0.110000;7.173300e-01
12;0.120000;4.210063e-01
13;0.130000;3.790150e-01
14;0.140000;3.342896e-01
15;0.150000;1.804760e-01
16;0.160000;2.907687e-01
17;0.170000;5.096518e-01
18;0.180000;9.488807e-01
19;0.190000;1.086128e+00
20;0.200000;8.984132e-01
21;0.210000;8.607969e-01
22;0.220000;7.768891e-01
23;0.230000;9.478156e-01
24;0.240000;8.982608e-01
25;0.250000;1.008531e+00
26;0.260000;8.788020e-01
27;0.270000;8.773060e-01
28;0.280000;6.008064e-01
29;0.290000;9.673803e-01
30;0.300000;6.841643e-01
31;0.310000;9.250581e-01
32;0.320000;6.966200e-01
33;0.330000;1.082342e+00
34;0.340000;1.247767e+00
35;0.350000;1.843902e+00
36;0.360000;1.851810e+00
37;0.370000;1.711277e+00
38;0.380000;1.716839e+00
39;0.390000;1.647256e+00
40;0.400000;1.555349e+00
41;0.410000;1.033222e+00
42;0.420000;7.613953e-01
43;0.430000;7.515938e-01
44;0.440000;5.289170e-01
45;0.450000;8.744728e-01
46;0.460000;7.363057e-01
47;0.470000;1.047038e+00
48;0.480000;6.622766e-01
49;0.490000;7.916808e-01
50;0.500000;4.827342e-01
51;0.510000;1.021583e+00
52;0.520000;1.247314e+00
53;0.530000;1.372044e+00
54;0.540000;9.749637e-01
55;0.550000;7.904602e-01
56;0.560000;5.192325e-01
57;0.570000;3.859175e-01
58;0.580000;1.085342e+00
59;0.590000;1.400301e+00
60;0.600000;2.043134e+00
61;0.610000;1.745413e+00
62;0.620000;2.052038e+00
63;0.630000;1.819278e+00
64;0.640000;1.713662e+00
65;0.650000;1.634574e+00
66;0.660000;1.746824e+00
67;0.670000;1.769035e+00
68;0.680000;1.789160e+00
69;0.690000;1.672682e+00
70;0.700000;1.654187e+00
71;0.710000;1.534590e+00
72;0.720000;1.304647e+00
73;0.730000;1.162475e+00
74;0.740000;8.518670e-01
75;0.750000;8.364009e-01
76;0.760000;5.969318e-01
77;0.770000;6.063436e-01
78;0.780000;5.318897e-01
79;0.790000;6.366906e-01
80;0.800000;6.295250e-01
81;0.810000;1.007256e+00
82;0.820000;1.008101e+00
83;0.830000;1.182992e+00
84;0.840000;9.752205e-01
85;0.850000;8.794042e-01
86;0.860000;1.012874e+00
87;0.870000;8.029840e-01
88;0.880000;7.799036e-01
89;0.890000;5.458047e-01
90;0.900000;6.161316e-01
91;0.910000;5.806865e-01
92;0.920000;4.725927e-01
93;0.930000;3.121424e-01
94;0.940000;3.095060e-01
