frameIndex;frameTime;pcm_loudness_sma
0;0.000000;6.333787e-01
1;0.010000;5.206354e-01
2;0.020000;4.670815e-01
3;0.030000;5.317593e-01
4;0.040000;5.147299e-01
5;0.050000;3.034277e-01
6;0.060000;3.176715e-01
7;0.070000;4.418608e-01
8;0.080000;5.859717e-01
9;0.090000;7.026577e-01
10;0.100000;4.427216e-01
11;0.110000;4.432751e-01
12;0.120000;2.460536e-01
13;0.130000;2.498748e-01
14;0.140000;1.261446e-01
15;0.150000;9.698308e-02
16;0.160000;7.870770e-02
17;0.170000;6.386996e-02
18;0.180000;9.504383e-02
19;0.190000;1.382068e-01
20;0.200000;3.215966e-01
21;0.210000;4.425652e-01
22;0.220000;6.912138e-01
23;0.230000;8.865631e-01
24;0.240000;1.251299e+00
25;0.250000;1.155623e+00
26;0.260000;1.015838e+00
27;0.270000;6.749986e-01
28;0.280000;6.304014e-01
29;0.290000;5.360274e-01
30;0.300000;5.639733e-01
31;0.310000;5.931194e-01
32;0.320000;5.833945e-01
33;0.330000;4.554393e-01
34;0.340000;5.301610e-01
35;0.350000;5.466428e-01
36;0.360000;5.573885e-01
37;0.370000;4.556076e-01
38;0.380000;9.104848e-01
39;0.390000;1.013869e+00
40;0.400000;1.302303e+00
41;0.410000;1.631948e+00
42;0.420000;1.731890e+00
43;0.430000;1.465003e+00
44;0.440000;6.507365e-01
45;0.450000;6.271876e-01
46;0.460000;7.049503e-01
47;0.470000;1.021356e+00
48;0.480000;1.134638e+00
49;0.490000;1.036083e+00
50;0.500000;1.503685e+00
51;0.510000;1.428695e+00
52;0.520000;1.614124e+00
53;0.530000;7.474904e-01
54;0.540000;8.698166e-01
55;0.550000;8.311448e-01
56;0.560000;8.601755e-01
57;0.570000;4.330038e-01
58;0.580000;1.569107e-01
59;0.590000;8.411067e-02
60;0.600000;7.953364e-02
61;0.610000;8.921027e-02
62;0.620000;8.446955e-02
63;0.630000;1.299735e-01
64;0.640000;3.071841e-01
65;0.650000;3.988303e-01
66;0.660000;6.020153e-01
67;0.670000;4.332469e-01
68;0.680000;6.832290e-01
69;0.690000;1.019962e+00
70;0.700000;1.440583e+00
71;0.710000;1.229498e+00
72;0.720000;9.751627e-01
73;0.730000;6.477680e-01
74;0.740000;5.724928e-01
75;0.750000;3.851337e-01
76;0.760000;5.604710e-01
77;0.770000;8.152688e-01
78;0.780000;7.166887e-01
79;0.790000;5.499330e-01
80;0.800000;5.538103e-01
81;0.810000;7.013301e-01
82;0.820000;8.453984e-01
83;0.830000;9.834771e-01
84;0.840000;1.186221e+00
85;0.850000;1.863187e+00
86;0.860000;2.245183e+00
87;0.870000;2.603515e+00
88;0.880000;2.129567e+00
89;0.890000;1.476760e+00
90;0.900000;1.106286e+00
91;0.910000;9.824219e-01
92;0.920000;1.072474e+00
93;0.930000;9.158520e-01
94;0.940000;6.399999e-01
95;0.950000;4.074950e-01
96;0.960000;2.063985e-01
97;0.970000;2.432061e-01
98;0.980000;4.138378e-01
99;0.990000;5.376637e-01
100;1.000000;6.915736e-01
101;1.010000;7.279695e-01
102;1.020000;6.470286e-01
103;1.030000;5.116669e-01
104;1.040000;3.791103e-01
105;1.050000;3.284311e-01
106;1.060000;2.180917e-01
107;1.070000;1.126689e-01
108;1.080000;8.443704e-02
109;1.090000;4.933622e-02
110;1.100000;4.813740e-02
111;1.110000;7.086238e-02
112;1.120000;6.860533e-02
113;1.130000;8.505061e-02
114;1.140000;2.223636e-01
115;1.150000;3.959660e-01
116;1.160000;4.640783e-01
117;1.170000;7.411385e-01
118;1.180000;1.107482e+00
119;1.190000;1.749553e+00
120;1.200000;1.948177e+00
121;1.210000;1.988464e+00
122;1.220000;1.697888e+00
123;1.230000;1.259015e+00
124;1.240000;8.726416e-01
125;1.250000;6.069074e-01
126;1.260000;7.499052e-01
127;1.270000;7.865803e-01
128;1.280000;7.097802e-01
129;1.290000;5.165861e-01
130;1.300000;4.406191e-01
131;1.310000;3.890061e-01
132;1.320000;2.828043e-01
133;1.330000;1.745335e-01
134;1.340000;1.419701e-01
135;1.350000;1.111533e-01
136;1.360000;1.088141e-01
137;1.370000;1.223376e-01
138;1.380000;1.535818e-01
139;1.390000;1.593135e-01
140;1.400000;1.482506e-01
141;1.410000;1.885777e-01
