frameIndex;frameTime;pcm_loudness_sma
0;0.000000;1.020769e+00
1;0.010000;1.170224e+00
2;0.020000;1.132238e+00
3;0.030000;8.921972e-01
4;0.040000;1.186538e+00
5;0.050000;1.627702e+00
6;0.060000;2.124630e+00
7;0.070000;2.035056e+00
8;0.080000;1.497134e+00
9;0.090000;1.101255e+00
10;0.100000;7.548431e-01
11;0.110000;1.049173e+00
12;0.120000;1.413424e+00
13;0.130000;1.905197e+00
14;0.140000;1.582578e+00
15;0.150000;1.081843e+00
16;0.160000;2.737921e-01
17;0.170000;8.912024e-01
18;0.180000;1.441416e+00
19;0.190000;1.613606e+00
20;0.200000;1.226184e+00
21;0.210000;7.357168e-01
22;0.220000;1.193392e+00
23;0.230000;1.004343e+00
24;0.240000;1.242938e+00
25;0.250000;1.087502e+00
26;0.260000;1.357100e+00
27;0.270000;1.823359e+00
28;0.280000;1.690182e+00
29;0.290000;1.816060e+00
30;0.300000;1.260806e+00
31;0.310000;1.024453e+00
32;0.320000;9.460233e-01
33;0.330000;1.092903e+00
34;0.340000;1.188559e+00
35;0.350000;8.081520e-01
36;0.360000;8.684660e-01
37;0.370000;1.247295e+00
38;0.380000;1.957380e+00
39;0.390000;1.791999e+00
40;0.400000;1.363478e+00
41;0.410000;1.010947e+00
42;0.420000;8.265634e-01
43;0.430000;1.382594e+00
44;0.440000;1.364202e+00
45;0.450000;1.372708e+00
46;0.460000;9.753556e-01
47;0.470000;8.659436e-01
48;0.480000;9.667385e-01
49;0.490000;7.890075e-01
50;0.500000;6.801245e-01
51;0.510000;8.934135e-01
52;0.520000;1.141747e+00
53;0.530000;1.305784e+00
54;0.540000;1.325295e+00
55;0.550000;1.395522e+00
56;0.560000;1.282526e+00
57;0.570000;1.156127e+00
58;0.580000;1.140579e+00
59;0.590000;1.638002e+00
60;0.600000;1.820800e+00
61;0.610000;1.996931e+00
62;0.620000;1.425551e+00
63;0.630000;1.363036e+00
64;0.640000;1.330111e+00
65;0.650000;1.810348e+00
66;0.660000;2.106200e+00
67;0.670000;2.303223e+00
68;0.680000;2.220874e+00
69;0.690000;1.584766e+00
70;0.700000;1.519547e+00
71;0.710000;1.764954e+00
72;0.720000;2.445504e+00
73;0.730000;2.723613e+00
74;0.740000;2.745738e+00
75;0.750000;2.448800e+00
76;0.760000;2.158465e+00
77;0.770000;2.162931e+00
78;0.780000;1.977448e+00
79;0.790000;2.186690e+00
80;0.800000;1.798561e+00
81;0.810000;2.229978e+00
82;0.820000;2.072094e+00
83;0.830000;1.709257e+00
84;0.840000;1.684338e+00
85;0.850000;1.683866e+00
86;0.860000;2.327316e+00
87;0.870000;2.029684e+00
88;0.880000;1.504356e+00
89;0.890000;1.082913e+00
90;0.900000;9.206171e-01
91;0.910000;7.367066e-01
92;0.920000;3.627348e-01
93;0.930000;1.193608e-01
94;0.940000;9.627759e-02
95;0.950000;1.066479e-01
96;0.960000;7.546851e-02
97;0.970000;1.984109e-01
98;0.980000;4.527455e-01
99;0.990000;6.066434e-01
100;1.000000;1.194764e+00
101;1.010000;1.937717e+00
102;1.020000;1.793216e+00
103;1.030000;1.286068e+00
104;1.040000;7.081223e-01
105;1.050000;1.118334e+00
106;1.060000;1.931794e+00
107;1.070000;1.934347e+00
108;1.080000;1.681157e+00
109;1.090000;8.614598e-01
110;1.100000;5.134189e-01
111;1.110000;9.241646e-01
112;1.120000;1.456240e+00
113;1.130000;1.683292e+00
114;1.140000;1.536037e+00
115;1.150000;1.317860e+00
116;1.160000;1.765733e+00
117;1.170000;2.254588e+00
118;1.180000;2.263346e+00
119;1.190000;1.785719e+00
120;1.200000;1.477508e+00
121;1.210000;1.689226e+00
122;1.220000;2.025561e+00
123;1.230000;1.925993e+00
124;1.240000;1.451095e+00
125;1.250000;1.640066e+00
126;1.260000;1.708857e+00
127;1.270000;1.985086e+00
128;1.280000;1.877145e+00
129;1.290000;1.663059e+00
130;1.300000;1.853120e+00
131;1.310000;1.373500e+00
132;1.320000;1.372654e+00
133;1.330000;7.951338e-01
134;1.340000;6.389767e-01
135;1.350000;3.539183e-01
136;1.360000;6.703238e-01
137;1.370000;7.101480e-01
138;1.380000;9.683216e-01
139;1.390000;5.893825e-01
140;1.400000;1.758873e+00
141;1.410000;1.544212e+00
142;1.420000;1.900719e+00
143;1.430000;9.637597e-01
144;1.440000;1.131746e+00
145;1.450000;1.015700e+00
146;1.460000;1.120389e+00
147;1.470000;1.144261e+00
148;1.480000;1.026819e+00
149;1.490000;6.053838e-01
150;1.500000;2.829218e-01
151;1.510000;1.197823e-01
152;1.520000;1.400488e-01
153;1.530000;1.632721e-01
154;1.540000;3.221469e-01
155;1.550000;7.308272e-01
156;1.560000;1.024938e+00
157;1.570000;1.181627e+00
158;1.580000;7.987373e-01
159;1.590000;5.950231e-01
160;1.600000;2.223953e-01
161;1.610000;1.606193e-01
162;1.620000;4.781378e-02
163;1.630000;7.053199e-02
164;1.640000;1.442251e-01
165;1.650000;1.556624e-01
