frameIndex;frameTime;pcm_LOGenergy
0;0.000000;-5.003757e+00
1;0.010000;-4.861153e+00
2;0.020000;-4.738384e+00
3;0.030000;-4.688101e+00
4;0.040000;-4.573568e+00
5;0.050000;-4.529869e+00
6;0.060000;-4.423485e+00
7;0.070000;-4.469454e+00
8;0.080000;-4.630476e+00
9;0.090000;-4.946102e+00
10;0.100000;-5.434159e+00
11;0.110000;-6.213800e+00
12;0.120000;-7.265364e+00
13;0.130000;-8.450540e+00
14;0.140000;-9.543387e+00
15;0.150000;-9.934587e+00
16;0.160000;-9.995381e+00
17;0.170000;-9.768414e+00
18;0.180000;-9.406634e+00
19;0.190000;-9.202515e+00
20;0.200000;-9.070816e+00
21;0.210000;-8.806700e+00
22;0.220000;-8.658121e+00
23;0.230000;-8.546789e+00
24;0.240000;-8.454821e+00
25;0.250000;-8.330609e+00
26;0.260000;-8.292639e+00
27;0.270000;-8.250125e+00
28;0.280000;-8.247383e+00
29;0.290000;-8.252145e+00
30;0.300000;-8.332511e+00
31;0.310000;-8.398713e+00
32;0.320000;-8.521324e+00
33;0.330000;-8.549565e+00
34;0.340000;-8.598004e+00
35;0.350000;-8.545630e+00
36;0.360000;-8.676585e+00
37;0.370000;-8.834895e+00
38;0.380000;-9.208929e+00
39;0.390000;-9.571265e+00
40;0.400000;-1.007066e+01
41;0.410000;-8.978248e+00
42;0.420000;-5.956939e+00
43;0.430000;-5.276122e+00
44;0.440000;-4.875362e+00
45;0.450000;-4.608495e+00
46;0.460000;-4.535821e+00
47;0.470000;-4.793642e+00
48;0.480000;-5.155497e+00
49;0.490000;-5.730903e+00
50;0.500000;-7.016874e+00
51;0.510000;-1.002415e+01
52;0.520000;-1.097465e+01
53;0.530000;-1.054314e+01
54;0.540000;-9.655409e+00
55;0.550000;-8.870388e+00
56;0.560000;-8.236774e+00
57;0.570000;-7.831751e+00
58;0.580000;-7.578341e+00
59;0.590000;-7.450115e+00
60;0.600000;-6.353552e+00
61;0.610000;-5.466066e+00
62;0.620000;-5.132285e+00
63;0.630000;-4.946838e+00
64;0.640000;-4.703362e+00
65;0.650000;-4.757921e+00
66;0.660000;-5.080027e+00
67;0.670000;-5.332505e+00
68;0.680000;-5.592809e+00
69;0.690000;-6.209057e+00
70;0.700000;-6.477648e+00
71;0.710000;-6.205306e+00
72;0.720000;-6.223127e+00
73;0.730000;-6.195121e+00
74;0.740000;-5.770986e+00
75;0.750000;-5.485143e+00
76;0.760000;-5.306796e+00
77;0.770000;-5.159426e+00
78;0.780000;-5.092715e+00
79;0.790000;-5.175337e+00
80;0.800000;-5.413876e+00
81;0.810000;-5.833407e+00
82;0.820000;-6.343563e+00
83;0.830000;-6.833965e+00
84;0.840000;-8.941323e+00
85;0.850000;-1.064276e+01
86;0.860000;-1.024242e+01
87;0.870000;-9.764415e+00
88;0.880000;-9.622449e+00
89;0.890000;-8.861160e+00
90;0.900000;-8.374063e+00
91;0.910000;-7.922125e+00
92;0.920000;-7.835846e+00
93;0.930000;-7.088243e+00
94;0.940000;-6.493170e+00
95;0.950000;-6.444736e+00
96;0.960000;-5.961159e+00
97;0.970000;-5.381200e+00
98;0.980000;-5.198068e+00
99;0.990000;-5.106945e+00
100;1.000000;-4.880115e+00
101;1.010000;-4.934949e+00
102;1.020000;-5.245323e+00
103;1.030000;-5.488641e+00
104;1.040000;-5.776207e+00
105;1.050000;-6.359344e+00
106;1.060000;-6.664670e+00
107;1.070000;-6.249241e+00
108;1.080000;-5.719476e+00
109;1.090000;-5.440352e+00
110;1.100000;-5.256169e+00
111;1.110000;-5.073255e+00
