frameIndex;frameTime;pcm_RMSenergy;pcm_LOGenergy
0;0.000000;2.224127e-02;-7.611612e+00
1;0.010000;2.600694e-02;-7.298784e+00
2;0.020000;2.723931e-02;-7.206188e+00
3;0.030000;2.706115e-02;-7.219312e+00
4;0.040000;3.065495e-02;-6.969923e+00
5;0.050000;4.087927e-02;-6.394264e+00
6;0.060000;6.199366e-02;-5.561446e+00
7;0.070000;8.422700e-02;-4.948479e+00
8;0.080000;1.012901e-01;-4.579533e+00
9;0.090000;1.195404e-01;-4.248201e+00
10;0.100000;1.297335e-01;-4.084546e+00
11;0.110000;1.345254e-01;-4.012005e+00
12;0.120000;1.393363e-01;-3.941730e+00
13;0.130000;1.484115e-01;-3.815533e+00
14;0.140000;1.417595e-01;-3.907246e+00
15;0.150000;1.394080e-01;-3.940701e+00
16;0.160000;1.385474e-01;-3.953085e+00
17;0.170000;1.295131e-01;-4.087946e+00
18;0.180000;1.108898e-01;-4.398437e+00
19;0.190000;1.014161e-01;-4.577046e+00
20;0.200000;8.872990e-02;-4.844316e+00
21;0.210000;6.805624e-02;-5.374842e+00
22;0.220000;4.981539e-02;-5.998862e+00
23;0.230000;3.508111e-02;-6.700185e+00
24;0.240000;2.979894e-02;-7.026565e+00
25;0.250000;2.642291e-02;-7.267048e+00
26;0.260000;2.931364e-02;-7.059404e+00
27;0.270000;3.463933e-02;-6.725531e+00
28;0.280000;3.944281e-02;-6.465806e+00
29;0.290000;4.348570e-02;-6.270646e+00
30;0.300000;4.458416e-02;-6.220753e+00
31;0.310000;4.263217e-02;-6.310292e+00
32;0.320000;3.822345e-02;-6.528612e+00
33;0.330000;3.330669e-02;-6.803994e+00
34;0.340000;3.146091e-02;-6.918019e+00
35;0.350000;3.503739e-02;-6.702679e+00
36;0.360000;4.939791e-02;-6.015694e+00
37;0.370000;9.912943e-02;-4.622658e+00
38;0.380000;1.210338e-01;-4.223370e+00
39;0.390000;1.299706e-01;-4.080894e+00
40;0.400000;1.395176e-01;-3.939129e+00
41;0.410000;1.426767e-01;-3.894348e+00
42;0.420000;1.288647e-01;-4.097985e+00
43;0.430000;1.204224e-01;-4.233500e+00
44;0.440000;1.224645e-01;-4.199867e+00
45;0.450000;1.174276e-01;-4.283866e+00
46;0.460000;1.205440e-01;-4.231480e+00
47;0.470000;1.191982e-01;-4.253936e+00
48;0.480000;1.199506e-01;-4.241350e+00
49;0.490000;1.175535e-01;-4.281723e+00
50;0.500000;1.153483e-01;-4.319598e+00
51;0.510000;1.036307e-01;-4.533844e+00
52;0.520000;8.666252e-02;-4.891468e+00
53;0.530000;6.781556e-02;-5.381927e+00
54;0.540000;4.594584e-02;-6.160584e+00
55;0.550000;2.873578e-02;-7.099224e+00
56;0.560000;2.834496e-02;-7.126612e+00
57;0.570000;3.904083e-02;-6.486294e+00
58;0.580000;4.191617e-02;-6.344167e+00
59;0.590000;4.231215e-02;-6.325362e+00
60;0.600000;4.249176e-02;-6.316890e+00
61;0.610000;4.061107e-02;-6.407429e+00
62;0.620000;3.892216e-02;-6.492383e+00
63;0.630000;5.310118e-02;-5.871112e+00
64;0.640000;7.272431e-02;-5.242159e+00
65;0.650000;8.141686e-02;-5.016346e+00
66;0.660000;9.041771e-02;-4.806630e+00
67;0.670000;9.264549e-02;-4.757950e+00
68;0.680000;8.999132e-02;-4.816084e+00
69;0.690000;8.347485e-02;-4.966420e+00
70;0.700000;8.248896e-02;-4.990181e+00
71;0.710000;7.690019e-02;-5.130494e+00
72;0.720000;7.549204e-02;-5.167456e+00
73;0.730000;7.535559e-02;-5.171074e+00
74;0.740000;7.770892e-02;-5.109571e+00
75;0.750000;7.836943e-02;-5.092643e+00
76;0.760000;8.199453e-02;-5.002205e+00
77;0.770000;8.526450e-02;-4.923994e+00
78;0.780000;8.940040e-02;-4.829260e+00
79;0.790000;8.700603e-02;-4.883555e+00
80;0.800000;8.051421e-02;-5.038643e+00
81;0.810000;7.163197e-02;-5.272428e+00
82;0.820000;6.166452e-02;-5.572093e+00
83;0.830000;4.580902e-02;-6.166548e+00
84;0.840000;2.877778e-02;-7.096303e+00
85;0.850000;2.460774e-02;-7.409389e+00
86;0.860000;2.270740e-02;-7.570129e+00
87;0.870000;2.547964e-02;-7.339751e+00
88;0.880000;3.891420e-02;-6.492792e+00
89;0.890000;5.973269e-02;-5.635752e+00
90;0.900000;7.774341e-02;-5.108683e+00
91;0.910000;8.822104e-02;-4.855820e+00
92;0.920000;1.001208e-01;-4.602756e+00
93;0.930000;1.088943e-01;-4.434756e+00
94;0.940000;1.129395e-01;-4.361805e+00
95;0.950000;1.120384e-01;-4.377827e+00
96;0.960000;1.116968e-01;-4.383934e+00
97;0.970000;1.051862e-01;-4.504047e+00
98;0.980000;9.479126e-02;-4.712156e+00
99;0.990000;7.964237e-02;-5.060418e+00
100;1.000000;6.393344e-02;-5.499825e+00
101;1.010000;4.922753e-02;-6.022604e+00
102;1.020000;3.726975e-02;-6.579147e+00
103;1.030000;2.735583e-02;-7.197651e+00
104;1.040000;2.162990e-02;-7.667357e+00
105;1.050000;2.323785e-02;-7.523946e+00
106;1.060000;2.459248e-02;-7.410629e+00
107;1.070000;2.613638e-02;-7.288854e+00
108;1.080000;2.743857e-02;-7.191611e+00
